breadth	type	Year
129	BH	-3300
124	BH	-3300
136	BH	-3300
145	BH	-3300
130	BH	-3300
134	BH	-3300
125	BH	-3300
136	BH	-3300
139	BH	-3300
136	BH	-3300
134	BH	-3300
136	BH	-3300
128	BH	-3300
129	BH	-3300
131	BH	-3300
129	BH	-3300
130	BH	-3300
136	BH	-3300
131	BH	-3300
136	BH	-3300
126	BH	-3300
139	BH	-3300
134	BH	-3300
130	BH	-3300
132	BH	-3300
132	BH	-3300
128	BH	-3300
141	BH	-1850
133	BH	-1850
138	BH	-1850
134	BH	-1850
134	BH	-1850
133	BH	-1850
138	BH	-1850
145	BH	-1850
131	BH	-1850
136	BH	-1850
129	BH	-1850
139	BH	-1850
126	BH	-1850
133	BH	-1850
142	BH	-1850
138	BH	-1850
135	BH	-1850
125	BH	-1850
134	BH	-1850
135	BH	-1850
130	BH	-1850
131	BH	-1850
137	BH	-1850
127	BH	-1850
133	BH	-1850
123	BH	-1850
137	BH	-1850
131	BH	-1850
133	BH	-1850
133	BH	-1850
134	BH	-200
128	BH	-200
130	BH	-200
131	BH	-200
120	BH	-200
135	BH	-200
137	BH	-200
130	BH	-200
134	BH	-200
140	BH	-200
133	BH	-200
134	BH	-200
135	BH	-200
136	BH	-200
130	BH	-200
137	BH	-200
141	BH	-200
135	BH	-200
128	BH	-200
125	BH	-200
130	BH	-200
124	BH	-200
131	BH	-200
131	BH	-200
128	BH	-200
126	BH	-200
142	BH	-200
138	BH	-200
136	BH	-200
130	BH	-200
123	BH	150
131	BH	150
126	BH	150
134	BH	150
127	BH	150
138	BH	150
138	BH	150
126	BH	150
132	BH	150
135	BH	150
120	BH	150
136	BH	150
135	BH	150
134	BH	150
135	BH	150
134	BH	150
125	BH	150
135	BH	150
125	BH	150
129	BH	150
136	BH	150
129	BH	150
126	BH	150
124	BH	150
127	BH	150
125	BH	150
128	BH	150
135	BH	150
129	BH	150
133	BH	150
89	BL	-4000
92	BL	-4000
99	BL	-4000
96	BL	-4000
100	BL	-4000
89	BL	-4000
108	BL	-4000
93	BL	-4000
102	BL	-4000
99	BL	-4000
95	BL	-4000
95	BL	-4000
109	BL	-4000
100	BL	-4000
100	BL	-4000
97	BL	-4000
103	BL	-4000
93	BL	-4000
96	BL	-4000
101	BL	-4000
102	BL	-4000
103	BL	-4000
93	BL	-4000
103	BL	-4000
104	BL	-4000
100	BL	-4000
93	BL	-4000
106	BL	-4000
114	BL	-4000
101	BL	-4000
101	BL	-3300
97	BL	-3300
98	BL	-3300
104	BL	-3300
95	BL	-3300
98	BL	-3300
100	BL	-3300
102	BL	-3300
96	BL	-3300
94	BL	-3300
103	BL	-3300
98	BL	-3300
99	BL	-3300
98	BL	-3300
104	BL	-3300
98	BL	-3300
107	BL	-3300
101	BL	-3300
105	BL	-3300
93	BL	-3300
106	BL	-3300
100	BL	-3300
97	BL	-3300
91	BL	-3300
101	BL	-3300
90	BL	-3300
104	BL	-3300
93	BL	-3300
98	BL	-3300
101	BL	-3300
96	BL	-1850
93	BL	-1850
87	BL	-1850
106	BL	-1850
96	BL	-1850
98	BL	-1850
95	BL	-1850
99	BL	-1850
92	BL	-1850
95	BL	-1850
100	BL	-1850
97	BL	-1850
101	BL	-1850
90	BL	-1850
104	BL	-1850
102	BL	-1850
92	BL	-1850
90	BL	-1850
96	BL	-1850
94	BL	-1850
91	BL	-1850
100	BL	-1850
94	BL	-1850
99	BL	-1850
91	BL	-1850
95	BL	-1850
101	BL	-1850
96	BL	-1850
100	BL	-1850
91	BL	-1850
107	BL	-200
95	BL	-200
87	BL	-200
99	BL	-200
91	BL	-200
90	BL	-200
94	BL	-200
90	BL	-200
90	BL	-200
100	BL	-200
90	BL	-200
97	BL	-200
99	BL	-200
95	BL	-200
99	BL	-200
93	BL	-200
99	BL	-200
95	BL	-200
93	BL	-200
88	BL	-200
94	BL	-200
86	BL	-200
97	BL	-200
98	BL	-200
92	BL	-200
97	BL	-200
95	BL	-200
94	BL	-200
92	BL	-200
100	BL	-200
91	BL	150
95	BL	150
91	BL	150
92	BL	150
86	BL	150
101	BL	150
97	BL	150
92	BL	150
99	BL	150
92	BL	150
95	BL	150
101	BL	150
95	BL	150
93	BL	150
96	BL	150
95	BL	150
99	BL	150
96	BL	150
92	BL	150
89	BL	150
92	BL	150
97	BL	150
88	BL	150
91	BL	150
97	BL	150
85	BL	150
81	BL	150
103	BL	150
87	BL	150
97	BL	150
49	NH	-4000
48	NH	-4000
50	NH	-4000
44	NH	-4000
54	NH	-4000
56	NH	-4000
48	NH	-4000
48	NH	-4000
51	NH	-4000
51	NH	-4000
50	NH	-4000
53	NH	-4000
51	NH	-4000
50	NH	-4000
51	NH	-4000
54	NH	-4000
50	NH	-4000
53	NH	-4000
50	NH	-4000
49	NH	-4000
51	NH	-4000
47	NH	-4000
53	NH	-4000
50	NH	-4000
49	NH	-4000
55	NH	-4000
53	NH	-4000
48	NH	-4000
54	NH	-4000
46	NH	-4000
48	NH	-3300
48	NH	-3300
45	NH	-3300
51	NH	-3300
45	NH	-3300
52	NH	-3300
54	NH	-3300
48	NH	-3300
50	NH	-3300
46	NH	-3300
53	NH	-3300
51	NH	-3300
56	NH	-3300
49	NH	-3300
53	NH	-3300
45	NH	-3300
53	NH	-3300
51	NH	-3300
47	NH	-3300
54	NH	-3300
49	NH	-3300
48	NH	-3300
52	NH	-3300
50	NH	-3300
49	NH	-3300
53	NH	-3300
50	NH	-3300
52	NH	-3300
54	NH	-3300
51	NH	-3300
52	NH	-1850
47	NH	-1850
48	NH	-1850
50	NH	-1850
45	NH	-1850
50	NH	-1850
47	NH	-1850
55	NH	-1850
46	NH	-1850
56	NH	-1850
53	NH	-1850
50	NH	-1850
50	NH	-1850
49	NH	-1850
47	NH	-1850
55	NH	-1850
50	NH	-1850
60	NH	-1850
51	NH	-1850
53	NH	-1850
52	NH	-1850
50	NH	-1850
51	NH	-1850
45	NH	-1850
49	NH	-1850
52	NH	-1850
54	NH	-1850
49	NH	-1850
55	NH	-1850
46	NH	-1850
54	NH	-200
53	NH	-200
49	NH	-200
51	NH	-200
46	NH	-200
50	NH	-200
60	NH	-200
48	NH	-200
51	NH	-200
52	NH	-200
53	NH	-200
54	NH	-200
50	NH	-200
52	NH	-200
55	NH	-200
52	NH	-200
55	NH	-200
47	NH	-200
54	NH	-200
48	NH	-200
53	NH	-200
50	NH	-200
53	NH	-200
53	NH	-200
51	NH	-200
54	NH	-200
53	NH	-200
55	NH	-200
52	NH	-200
51	NH	-200
50	NH	150
49	NH	150
57	NH	150
52	NH	150
47	NH	150
52	NH	150
58	NH	150
45	NH	150
55	NH	150
54	NH	150
51	NH	150
54	NH	150
56	NH	150
53	NH	150
52	NH	150
47	NH	150
51	NH	150
54	NH	150
50	NH	150
47	NH	150
46	NH	150
44	NH	150
54	NH	150
55	NH	150
52	NH	150
57	NH	150
52	NH	150
48	NH	150
48	NH	150
51	NH	150
